service_id,active_days_per_week,start_date,end_date,exception_count,service_stability_level
1,5,2025-04-04,2025-12-13,8,Limited
1007,7,2025-04-04,2025-12-13,18,Limited
1009,7,2025-04-04,2025-12-13,24,Unstable
1012,7,2025-04-04,2025-12-13,26,Unstable
1013,7,2025-04-04,2025-12-13,28,Unstable
1018,7,2025-04-04,2025-12-13,19,Limited
1019,7,2025-04-04,2025-12-13,16,Limited
102,6,2025-04-04,2025-12-13,8,Stable
1024,7,2025-04-04,2025-12-13,18,Limited
1029,7,2025-04-04,2025-12-13,32,Unstable
103,6,2025-04-04,2025-12-13,9,Limited
1031,7,2025-04-04,2025-12-13,30,Unstable
1032,7,2025-04-04,2025-12-13,35,Unstable
1034,7,2025-04-04,2025-12-13,16,Limited
1037,7,2025-04-04,2025-12-13,61,Unstable
1038,7,2025-04-04,2025-12-13,22,Unstable
104,6,2025-04-04,2025-12-13,59,Unstable
1040,7,2025-04-04,2025-12-13,28,Unstable
1041,7,2025-04-04,2025-12-13,21,Unstable
1044,7,2025-04-04,2025-12-13,30,Unstable
1046,7,2025-04-04,2025-12-13,27,Unstable
1049,7,2025-04-04,2025-12-13,54,Unstable
1052,7,2025-04-04,2025-12-13,49,Unstable
1054,7,2025-04-04,2025-12-13,54,Unstable
1055,7,2025-04-04,2025-12-13,55,Unstable
1056,7,2025-04-04,2025-12-13,53,Unstable
1059,7,2025-04-04,2025-12-13,51,Unstable
106,2,2025-04-04,2025-12-13,60,Unstable
1061,7,2025-04-04,2025-12-13,17,Limited
107,7,2025-04-04,2025-12-13,1,Stable
108,7,2025-04-04,2025-12-13,52,Unstable
1081,7,2025-04-04,2025-12-13,50,Unstable
1082,7,2025-04-04,2025-12-13,53,Unstable
1084,7,2025-04-04,2025-12-13,54,Unstable
1086,7,2025-04-04,2025-12-13,60,Unstable
109,6,2025-04-04,2025-12-13,35,Unstable
1099,5,2025-04-04,2025-12-13,15,Limited
110,6,2025-04-04,2025-12-13,31,Unstable
1130,6,2025-04-04,2025-12-13,6,Stable
1148,4,2025-04-04,2025-12-13,121,Unstable
1149,7,2025-04-04,2025-12-13,93,Unstable
1159,7,2025-04-04,2025-12-13,93,Unstable
1162,7,2025-04-04,2025-12-13,101,Unstable
1163,7,2025-04-04,2025-12-13,106,Unstable
1164,7,2025-04-04,2025-12-13,100,Unstable
1166,7,2025-04-04,2025-12-13,96,Unstable
1169,6,2025-04-04,2025-12-13,126,Unstable
1183,7,2025-04-04,2025-12-13,22,Unstable
1184,7,2025-04-04,2025-12-13,4,Stable
1187,2,2025-04-04,2025-12-13,27,Unstable
12,7,2025-04-04,2025-12-13,12,Limited
1204,2,2025-04-04,2025-12-13,32,Unstable
1207,7,2025-04-04,2025-12-13,121,Unstable
1208,2,2025-04-04,2025-12-13,41,Unstable
1209,3,2025-04-04,2025-12-13,87,Unstable
1211,2,2025-04-04,2025-12-13,37,Unstable
