route_id,agency_id,route_short_name,route_long_name,route_type,number_of_trips,Number_of_unique_services,Number_of_unique_shapes
10141_109,1,S1,NULL,109,387,82,27
10142_109,1,S1,NULL,109,264,44,27
10143_109,1,S2,NULL,109,644,99,37
10144_109,1,S2,NULL,109,487,64,27
10145_109,1,S25,NULL,109,360,28,27
10148_109,1,S3,NULL,109,1262,106,59
10149_109,1,S3,NULL,109,1485,86,69
10150_109,1,S3,NULL,109,175,10,6
10154_109,1,S45,NULL,109,647,35,35
10155_109,1,S46,NULL,109,1153,98,32
10157_109,1,S5,NULL,109,887,147,49
10158_109,1,S5,NULL,109,665,77,29
10159_109,1,S5,NULL,109,126,4,6
10160_109,1,S5,NULL,109,104,42,13
10162_109,1,S7,NULL,109,916,126,20
10163_109,1,S7,NULL,109,556,75,40
10165_109,1,S75,NULL,109,367,41,4
10166_109,1,S75,NULL,109,242,14,11
10167_109,1,S8,NULL,109,864,91,30
10170_109,1,S9,NULL,109,964,65,36
10223_109,1,S41,NULL,109,1347,81,54
10224_109,1,S41,NULL,109,833,64,39
10225_109,1,S41,NULL,109,141,14,9
10226_109,1,S42,NULL,109,1376,86,60
10227_109,1,S42,NULL,109,732,45,30
10228_109,1,S42,NULL,109,147,13,11
10229_109,1,S47,NULL,109,539,50,7
10231_700,1,S2,NULL,700,861,7,11
10234_700,241,917,NULL,700,24,2,4
10236_700,1,S46,NULL,700,1023,9,4
10271_109,1,S9,NULL,109,193,18,10
10272_700,1,S7,NULL,700,495,9,2
10276_109,1,S1,NULL,109,86,1,3
10277_109,1,S1,NULL,109,41,2,5
10278_109,1,S2,NULL,109,184,10,7
10279_109,1,S2,NULL,109,92,4,2
10281_109,1,S8,NULL,109,62,3,2
10296_3,92,657,NULL,3,43,8,2
10296_700,92,657,NULL,700,39,8,7
10371_700,1,S9,NULL,700,549,6,2
10376_109,1,S45,NULL,109,119,3,2
10456_700,1,S5,NULL,700,343,15,6
10671_700,92,668,NULL,700,104,7,4
10672_700,92,672,NULL,700,80,9,18
10673_700,92,673,NULL,700,32,6,7
10674_700,92,674,NULL,700,104,10,11
10675_700,92,675,NULL,700,18,3,11
10676_700,92,676,NULL,700,70,8,15
10677_700,92,677,NULL,700,40,8,8
10678_700,92,678,NULL,700,19,5,9
10679_700,92,679,NULL,700,25,3,17
10682_700,92,684,NULL,700,108,14,25
10683_700,92,685,NULL,700,37,5,17
10684_700,92,687,NULL,700,32,8,18
10685_3,92,688,NULL,3,8,4,2
10685_700,92,688,NULL,700,11,3,2
10686_700,92,689,NULL,700,14,4,6
10911_700,246,709,NULL,700,4,1,4
10912_700,246,752,NULL,700,12,3,10
10913_700,246,755,NULL,700,30,3,23
10914_700,246,773,NULL,700,4,1,3
11216_700,251,518,NULL,700,2,1,2
11342_700,1,S41,NULL,700,253,7,1
11343_700,1,S8,NULL,700,104,4,2
11362_700,150,N14,NULL,700,125,32,17
11364_700,150,X15,NULL,700,104,2,4
11536_109,1,S46,NULL,109,224,4,6
11561_109,1,S3,NULL,109,174,12,11
11651_700,1,S47,NULL,700,139,3,2
11701_700,1,S3,NULL,700,230,9,2
12003_109,1,S85,NULL,109,684,33,41
12043_700,246,760,NULL,700,11,1,11
12193_700,84,N1,NULL,700,13,2,2
12194_700,84,N2,NULL,700,14,2,2
12532_900,486,88,NULL,900,257,9,7
12533_900,487,89,NULL,900,106,3,2
12889_900,516,2,NULL,900,197,3,5
12890_900,516,3,NULL,900,218,9,6
12891_900,516,4,NULL,900,288,7,4
13104_700,516,11,NULL,700,6,1,2
13105_700,516,12,NULL,700,127,11,26
13106_700,516,13,NULL,700,193,7,5
13107_700,516,15,NULL,700,104,15,6
13108_700,516,16,NULL,700,263,9,11
13109_700,516,18,NULL,700,48,1,4
13110_700,516,19,NULL,700,65,8,10
13111_700,516,20,NULL,700,137,11,7
13113_700,516,21,NULL,700,47,8,22
13114_700,516,22,NULL,700,15,4,12
13115_700,516,23,NULL,700,24,5,13
13116_700,516,25,NULL,700,55,11,20
13118_700,516,26,NULL,700,67,9,18
13119_700,516,27,NULL,700,27,3,7
13120_700,516,29,NULL,700,38,17,21
13122_700,516,32,NULL,700,34,7,12
13123_700,516,33,NULL,700,17,6,10
13125_700,516,35,NULL,700,50,3,4
