agency_id,route_type,number_of_routes,total_trip_counts,total_unique_shape_counts
1,109,46,20985,950
1,700,13,4858,39
1,NULL,59,25843,989
32,3,26,371,105
32,700,41,2096,332
32,NULL,67,2467,437
47,700,13,853,127
47,900,2,407,10
47,NULL,15,1260,137
84,700,9,589,54
84,900,5,677,33
84,NULL,14,1266,87
92,3,9,206,28
92,700,42,2630,520
92,NULL,51,2836,548
93,700,69,2618,1011
93,NULL,69,2618,1011
108,100,32,3369,717
108,109,3,173,30
108,2,2,345,39
108,700,15,420,91
108,NULL,52,4307,877
138,700,1,30,2
138,NULL,1,30,2
150,1000,1,105,2
150,700,24,4331,208
150,900,7,2503,66
150,NULL,32,6939,276
241,700,71,5214,991
241,NULL,71,5214,991
246,700,55,1556,558
246,NULL,55,1556,558
251,700,54,3050,859
251,NULL,54,3050,859
341,700,36,957,489
341,NULL,36,957,489
346,700,30,658,340
346,NULL,30,658,340
476,700,6,220,62
476,NULL,6,220,62
480,700,2,32,21
480,NULL,2,32,21
486,900,2,495,14
486,NULL,2,495,14
487,900,1,106,2
487,NULL,1,106,2
516,700,73,4117,684
516,900,3,703,15
516,NULL,76,4820,699
566,700,54,1664,453
566,NULL,54,1664,453
606,700,1,66,22
606,NULL,1,66,22
706,700,1,23,22
706,NULL,1,23,22
721,700,4,95,20
721,NULL,4,95,20
726,700,44,2093,715
726,NULL,44,2093,715
731,100,9,1264,274
731,106,5,178,32
731,700,8,365,49
731,NULL,22,1807,355
751,106,3,123,13
751,700,2,81,10
751,NULL,5,204,23
772,700,5,399,10
772,NULL,5,399,10
781,700,3,91,51
781,NULL,3,91,51
796,1000,6,449,12
796,400,10,11239,204
796,700,212,124671,2062
796,900,23,25370,404
796,NULL,251,161729,2682
811,100,1,84,12
811,700,1,2,2
811,NULL,2,86,14
816,3,38,660,154
816,700,47,1010,423
816,NULL,85,1670,577
841,700,39,2041,452
841,NULL,39,2041,452
846,3,7,132,25
846,700,63,6693,747
846,NULL,70,6825,772
976,100,9,453,70
976,106,11,1091,132
976,NULL,20,1544,202
NULL,NULL,1299,245011,14769
