route_id,agency_id,route_short_name,route_long_name,trip_count,route_intensity_level
10143_109,1,S2,NULL,644,Critical
10144_109,1,S2,NULL,487,Critical
10148_109,1,S3,NULL,1262,Critical
10149_109,1,S3,NULL,1485,Critical
10154_109,1,S45,NULL,647,Critical
10155_109,1,S46,NULL,1153,Critical
10157_109,1,S5,NULL,887,Critical
10158_109,1,S5,NULL,665,Critical
10162_109,1,S7,NULL,916,Critical
10163_109,1,S7,NULL,556,Critical
10167_109,1,S8,NULL,864,Critical
10170_109,1,S9,NULL,964,Critical
10223_109,1,S41,NULL,1347,Critical
10224_109,1,S41,NULL,833,Critical
10226_109,1,S42,NULL,1376,Critical
10227_109,1,S42,NULL,732,Critical
10229_109,1,S47,NULL,539,Critical
10231_700,1,S2,NULL,861,Critical
10236_700,1,S46,NULL,1023,Critical
10272_700,1,S7,NULL,495,Critical
10371_700,1,S9,NULL,549,Critical
12003_109,1,S85,NULL,684,Critical
22239_109,1,S8,NULL,569,Critical
20969_700,32,823,NULL,50,Critical
25354_700,32,825,NULL,44,Medium
5232_700,32,801,NULL,40,Critical
5233_700,32,800,NULL,70,Critical
5234_700,32,802,NULL,48,High
5235_700,32,803,NULL,48,High
5236_700,32,804,NULL,62,High
5237_700,32,805,NULL,70,Critical
5238_700,32,806,NULL,391,Critical
5239_700,32,807,NULL,92,High
5241_700,32,809,NULL,79,High
5243_3,32,812,NULL,38,Critical
5243_700,32,812,NULL,61,Critical
5246_700,32,816,NULL,50,High
5248_700,32,822,NULL,83,High
5249_700,32,824,NULL,457,Critical
5252_700,32,833,NULL,60,High
5256_3,32,838,NULL,47,High
5257_700,32,839,NULL,43,Critical
21947_700,47,2,NULL,189,High
327_700,47,B/522,NULL,184,Critical
330_700,47,E/525,NULL,119,High
340_900,47,1,NULL,198,High
343_900,47,6,NULL,209,High
1870_700,84,980,NULL,91,Critical
1871_700,84,981,NULL,260,Critical
1879_900,84,1,NULL,176,Critical
1880_900,84,2,NULL,186,Critical
1882_900,84,4,NULL,186,Critical
10671_700,92,668,NULL,104,Critical
10672_700,92,672,NULL,80,Critical
10674_700,92,674,NULL,104,Critical
10676_700,92,676,NULL,70,Critical
10682_700,92,684,NULL,108,Critical
1921_700,92,651,NULL,78,Critical
1923_700,92,653,NULL,148,Critical
1924_700,92,654,NULL,114,Critical
1925_700,92,655,NULL,149,Critical
1928_700,92,658,NULL,99,Critical
1929_700,92,659,NULL,132,Critical
1930_700,92,661,NULL,58,Critical
1935_700,92,666,NULL,100,Critical
1938_700,92,671,NULL,128,Critical
1945_700,92,604,NULL,79,Critical
1955_700,92,614,NULL,69,Critical
1971_700,92,642,NULL,84,Critical
3713_700,92,649,NULL,75,Critical
3975_700,92,660,NULL,103,Critical
4477_700,92,663,NULL,95,Critical
19084_700,93,401,NULL,50,Critical
19085_700,93,403,NULL,54,High
19087_700,93,413,NULL,55,Critical
19090_700,93,419,NULL,42,Critical
19091_700,93,421,NULL,45,Critical
19092_700,93,424,NULL,40,Critical
19098_700,93,435,NULL,90,Critical
19100_700,93,445,NULL,39,Critical
19101_700,93,447,NULL,87,Medium
19102_700,93,448,NULL,88,Medium
19111_700,93,459,NULL,63,Critical
19115_700,93,464,NULL,47,High
19118_700,93,468,"PlusBus Nationalparklinie",61,High
19126_700,93,481,NULL,128,Critical
19127_700,93,482,NULL,136,Critical
19129_700,93,486,NULL,62,Critical
19131_700,93,491,NULL,46,Critical
19133_700,93,494,NULL,43,High
19135_700,93,502,NULL,42,Critical
19137_700,93,504,NULL,55,Critical
19139_700,93,506,NULL,82,Critical
19141_700,93,509,NULL,50,Critical
19146_700,93,515,NULL,44,Critical
19147_700,93,517,NULL,66,Critical
19150_700,93,531,NULL,104,Medium
23189_700,93,446,NULL,62,High
19058_100,108,RE3,NULL,408,Critical
19059_100,108,RE5,NULL,203,Critical
19065_100,108,RB55,NULL,192,Critical
19066_100,108,RE6,NULL,189,Critical
19708_700,108,RE3,NULL,83,Critical
24025_100,108,RE4,NULL,180,Critical
24044_100,108,RB23,NULL,173,Critical
24045_100,108,RE2,NULL,229,Critical
24046_100,108,RB32,NULL,209,Critical
24049_100,108,RB21,NULL,149,Critical
24050_100,108,RB24,NULL,221,Critical
24051_2,108,FEX,NULL,333,Critical
24052_100,108,RB22,NULL,124,Critical
24053_100,108,RE7,NULL,288,Critical
24054_100,108,RB10,NULL,83,Critical
24055_100,108,RB14,NULL,122,Critical
15274_700,150,605,NULL,427,Critical
1547_700,150,693,NULL,362,Critical
1548_700,150,694,NULL,632,Critical
1556_900,150,92,NULL,640,Critical
1558_900,150,94,NULL,289,Critical
16884_700,150,EV96,NULL,356,High
5596_700,150,699,NULL,338,Critical
5633_900,150,91,NULL,387,Critical
5635_900,150,96,NULL,683,Critical
7361_700,150,690,NULL,289,Critical
7362_900,150,93,NULL,288,Critical
19009_700,241,897,NULL,164,Critical
20479_700,241,870,NULL,172,High
23184_700,241,RB26,NULL,323,Critical
4221_700,241,864,NULL,74,Critical
4223_700,241,868,NULL,335,Critical
4237_700,241,886,NULL,148,Critical
4239_700,241,890,NULL,116,Critical
4240_700,241,891,NULL,103,Critical
4241_700,241,892,NULL,92,Critical
4242_700,241,893,NULL,137,Medium
4243_700,241,894,NULL,232,Critical
4244_700,241,895,NULL,128,High
4245_700,241,896,NULL,142,Critical
4247_700,241,898,NULL,78,High
4249_700,241,900,NULL,195,Critical
4256_700,241,907,NULL,88,Critical
4257_700,241,908,NULL,168,Critical
4259_700,241,910,NULL,210,Critical
4268_700,241,920,NULL,87,Critical
4281_700,241,861,NULL,284,High
4287_700,241,862,NULL,274,High
7251_700,241,869,NULL,100,Critical
10913_700,246,755,NULL,30,High
13728_700,246,793,NULL,39,High
13729_700,246,794,NULL,47,High
13730_700,246,797,NULL,30,High
13889_700,246,792,NULL,38,High
16354_700,246,600,NULL,58,Medium
19079_700,246,715,NULL,54,Medium
20364_700,246,714,NULL,48,Medium
25489_700,246,721,NULL,58,High
4495_700,246,702,NULL,83,Medium
4497_700,246,704,NULL,92,High
4502_700,246,708,NULL,30,Low
4503_700,246,710,NULL,53,Medium
4511_700,246,719,NULL,39,High
4512_700,246,720,NULL,34,Medium
4514_700,246,750,NULL,29,Critical
4521_700,246,772,NULL,36,High
6618_700,246,753,NULL,44,High
6620_700,246,754,NULL,48,High
6622_700,246,758,NULL,36,Low
6625_700,246,768,NULL,31,High
6626_700,246,769,NULL,30,High
6629_700,246,771,NULL,32,High
9696_700,246,711,NULL,122,High
16009_700,251,741,NULL,141,Critical
22804_700,251,263,NULL,363,High
5332_700,251,466,NULL,78,Critical
5339_700,251,472,NULL,81,Critical
5340_700,251,473,NULL,62,High
5344_700,251,477,NULL,63,Critical
5345_700,251,500,NULL,115,Critical
5350_700,251,506,NULL,69,Critical
5353_700,251,509,NULL,78,Critical
5363_700,251,722,NULL,79,Critical
5365_700,251,724,NULL,77,Critical
5366_700,251,725,NULL,60,Critical
5369_700,251,727,NULL,76,Critical
5370_700,251,728,NULL,77,Critical
