route_id,route_type,route_short_name,trip_count,unique_shape_count,route_intensity_level
10141_109,109,S1,387,27,Critical
10142_109,109,S1,264,27,Critical
10143_109,109,S2,644,37,Critical
10144_109,109,S2,487,27,Critical
10145_109,109,S25,360,27,Critical
10148_109,109,S3,1262,59,Critical
10149_109,109,S3,1485,69,Critical
10154_109,109,S45,647,35,Critical
10155_109,109,S46,1153,32,Critical
10157_109,109,S5,887,49,Critical
10158_109,109,S5,665,29,Critical
10163_109,109,S7,556,40,Critical
10167_109,109,S8,864,30,Critical
10170_109,109,S9,964,36,Critical
10223_109,109,S41,1347,54,Critical
10224_109,109,S41,833,39,Critical
10226_109,109,S42,1376,60,Critical
10227_109,109,S42,732,30,Critical
10672_700,700,672,80,18,Critical
10676_700,700,676,70,15,Critical
10679_700,700,679,25,17,High
10682_700,700,684,108,25,Critical
10683_700,700,685,37,17,Critical
10684_700,700,687,32,18,Critical
10913_700,700,755,30,23,High
11362_700,700,N14,125,17,Critical
12003_109,109,S85,684,41,Critical
13105_700,700,12,127,26,Critical
13113_700,700,21,47,22,Critical
13114_700,700,22,15,12,High
13115_700,700,23,24,13,Critical
13116_700,700,25,55,20,Critical
13118_700,700,26,67,18,Critical
13120_700,700,29,38,21,Critical
13122_700,700,32,34,12,Critical
13126_700,700,37,50,24,Critical
13133_700,700,44,95,21,Critical
13134_700,700,46,18,12,High
13418_700,700,669,25,17,Critical
13543_3,3,831,29,6,High
15026_700,700,30,26,12,High
15068_3,3,848,24,5,Medium
15274_700,700,605,427,12,Critical
15276_700,700,609,166,22,Critical
15277_700,700,638,129,12,Critical
1548_700,700,694,632,32,Critical
1554_700,700,N17,58,18,Critical
1556_900,900,92,640,14,Critical
15714_700,700,742,18,12,Medium
16009_700,700,741,141,43,Critical
16374_700,700,882,34,19,Critical
16694_700,700,524,27,15,High
16709_3,3,670,28,8,High
16735_700,700,683,36,23,Critical
16859_700,700,N16,66,12,Critical
16867_106,106,RB13,72,15,Critical
17063_700,700,559,35,19,Critical
17064_700,700,593,38,17,Critical
17065_700,700,596,18,15,Low
17290_700,700,101,638,18,Critical
17292_700,700,106,1029,15,Critical
17293_700,700,107,612,12,Critical
17294_700,700,108,578,18,Critical
17297_700,700,112,674,19,Critical
17299_700,700,115,781,12,Critical
17300_700,700,118,720,23,Critical
17302_700,700,120,1008,22,Critical
17303_700,700,122,1286,18,Critical
17304_700,700,123,884,16,Critical
17305_700,700,124,708,14,Critical
17306_700,700,125,1026,21,Critical
17308_700,700,130,978,14,Critical
17309_700,700,131,592,16,Critical
17310_700,700,133,728,12,Critical
17311_700,700,134,955,31,Critical
17312_700,700,135,538,20,Critical
17319_700,700,150,1012,24,Critical
17322_700,700,156,725,17,Critical
17323_700,700,158,566,20,Critical
17326_700,700,161,590,21,Critical
17328_700,700,163,602,13,Critical
17329_700,700,164,722,19,Critical
