service_id,start_date,end_date,active_days_per_week,exception_count,service_stability_level,last_refresh
1,2025-04-04,2025-12-13,5,8,Limited,"2026-04-06 10:59:30"
10,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
100,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1000,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1001,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1002,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1003,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1004,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
1005,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1006,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1007,2025-04-04,2025-12-13,7,18,Limited,"2026-04-06 10:59:30"
1008,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
1009,2025-04-04,2025-12-13,7,24,Unstable,"2026-04-06 10:59:30"
101,2025-04-04,2025-12-13,1,1,Limited,"2026-04-06 10:59:30"
1010,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1011,2025-04-04,2025-12-13,0,8,Unstable,"2026-04-06 10:59:30"
1012,2025-04-04,2025-12-13,7,26,Unstable,"2026-04-06 10:59:30"
1013,2025-04-04,2025-12-13,7,28,Unstable,"2026-04-06 10:59:30"
1014,2025-04-04,2025-12-13,0,7,Unstable,"2026-04-06 10:59:30"
1015,2025-04-04,2025-12-13,0,7,Unstable,"2026-04-06 10:59:30"
1016,2025-04-04,2025-12-13,0,11,Unstable,"2026-04-06 10:59:30"
1017,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1018,2025-04-04,2025-12-13,7,19,Limited,"2026-04-06 10:59:30"
1019,2025-04-04,2025-12-13,7,16,Limited,"2026-04-06 10:59:30"
102,2025-04-04,2025-12-13,6,8,Stable,"2026-04-06 10:59:30"
1020,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
1021,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1022,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1023,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1024,2025-04-04,2025-12-13,7,18,Limited,"2026-04-06 10:59:30"
1025,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1026,2025-04-04,2025-12-13,0,3,Limited,"2026-04-06 10:59:30"
1027,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1028,2025-04-04,2025-12-13,0,5,Limited,"2026-04-06 10:59:30"
1029,2025-04-04,2025-12-13,7,32,Unstable,"2026-04-06 10:59:30"
103,2025-04-04,2025-12-13,6,9,Limited,"2026-04-06 10:59:30"
1030,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1031,2025-04-04,2025-12-13,7,30,Unstable,"2026-04-06 10:59:30"
1032,2025-04-04,2025-12-13,7,35,Unstable,"2026-04-06 10:59:30"
1033,2025-04-04,2025-12-13,0,9,Unstable,"2026-04-06 10:59:30"
1034,2025-04-04,2025-12-13,7,16,Limited,"2026-04-06 10:59:30"
1035,2025-04-04,2025-12-13,0,29,Unstable,"2026-04-06 10:59:30"
1036,2025-04-04,2025-12-13,0,10,Unstable,"2026-04-06 10:59:30"
1037,2025-04-04,2025-12-13,7,61,Unstable,"2026-04-06 10:59:30"
1038,2025-04-04,2025-12-13,7,22,Unstable,"2026-04-06 10:59:30"
1039,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
104,2025-04-04,2025-12-13,6,59,Unstable,"2026-04-06 10:59:30"
1040,2025-04-04,2025-12-13,7,28,Unstable,"2026-04-06 10:59:30"
1041,2025-04-04,2025-12-13,7,21,Unstable,"2026-04-06 10:59:30"
1042,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1043,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1044,2025-04-04,2025-12-13,7,30,Unstable,"2026-04-06 10:59:30"
1045,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1046,2025-04-04,2025-12-13,7,27,Unstable,"2026-04-06 10:59:30"
1047,2025-04-04,2025-12-13,0,11,Unstable,"2026-04-06 10:59:30"
1048,2025-04-04,2025-12-13,0,53,Unstable,"2026-04-06 10:59:30"
1049,2025-04-04,2025-12-13,7,54,Unstable,"2026-04-06 10:59:30"
105,2025-04-04,2025-12-13,1,53,Unstable,"2026-04-06 10:59:30"
1050,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1051,2025-04-04,2025-12-13,0,49,Unstable,"2026-04-06 10:59:30"
1052,2025-04-04,2025-12-13,7,49,Unstable,"2026-04-06 10:59:30"
1053,2025-04-04,2025-12-13,0,48,Unstable,"2026-04-06 10:59:30"
1054,2025-04-04,2025-12-13,7,54,Unstable,"2026-04-06 10:59:30"
1055,2025-04-04,2025-12-13,7,55,Unstable,"2026-04-06 10:59:30"
1056,2025-04-04,2025-12-13,7,53,Unstable,"2026-04-06 10:59:30"
1057,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1058,2025-04-04,2025-12-13,0,46,Unstable,"2026-04-06 10:59:30"
1059,2025-04-04,2025-12-13,7,51,Unstable,"2026-04-06 10:59:30"
106,2025-04-04,2025-12-13,2,60,Unstable,"2026-04-06 10:59:30"
1060,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1061,2025-04-04,2025-12-13,7,17,Limited,"2026-04-06 10:59:30"
1062,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1063,2025-04-04,2025-12-13,0,7,Unstable,"2026-04-06 10:59:30"
1064,2025-04-04,2025-12-13,0,30,Unstable,"2026-04-06 10:59:30"
1065,2025-04-04,2025-12-13,0,39,Unstable,"2026-04-06 10:59:30"
1066,2025-04-04,2025-12-13,0,33,Unstable,"2026-04-06 10:59:30"
1067,2025-04-04,2025-12-13,0,3,Limited,"2026-04-06 10:59:30"
1068,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1069,2025-04-04,2025-12-13,0,40,Unstable,"2026-04-06 10:59:30"
107,2025-04-04,2025-12-13,7,1,Stable,"2026-04-06 10:59:30"
1070,2025-04-04,2025-12-13,0,43,Unstable,"2026-04-06 10:59:30"
1071,2025-04-04,2025-12-13,0,47,Unstable,"2026-04-06 10:59:30"
1072,2025-04-04,2025-12-13,0,38,Unstable,"2026-04-06 10:59:30"
1073,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1074,2025-04-04,2025-12-13,0,48,Unstable,"2026-04-06 10:59:30"
1075,2025-04-04,2025-12-13,0,57,Unstable,"2026-04-06 10:59:30"
1076,2025-04-04,2025-12-13,0,49,Unstable,"2026-04-06 10:59:30"
1077,2025-04-04,2025-12-13,0,49,Unstable,"2026-04-06 10:59:30"
1078,2025-04-04,2025-12-13,0,41,Unstable,"2026-04-06 10:59:30"
1079,2025-04-04,2025-12-13,0,31,Unstable,"2026-04-06 10:59:30"
108,2025-04-04,2025-12-13,7,52,Unstable,"2026-04-06 10:59:30"
1080,2025-04-04,2025-12-13,0,27,Unstable,"2026-04-06 10:59:30"
1081,2025-04-04,2025-12-13,7,50,Unstable,"2026-04-06 10:59:30"
1082,2025-04-04,2025-12-13,7,53,Unstable,"2026-04-06 10:59:30"
1083,2025-04-04,2025-12-13,0,53,Unstable,"2026-04-06 10:59:30"
